Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group,Predicted_Abs_Max_nm,Predicted_PCE_Percent
Alizarin_inspired,Ethene,Benzoic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]/C=C/[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C=Cc2c(O)c(O)cc3c2C(=O)c2ccccc2C3=O)cc1,Natural-derived,carboxylic_acid,444.2330066539879,6.2131500000000015
Lawsone_inspired,Furan,Benzoic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]c1ccoc1[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2occc2C2=C(O)C(=O)c3ccccc3C2=O)cc1,Natural-derived,carboxylic_acid,418.34165415419926,6.2100000000000035
Alizarin_inspired,Ethyne,Barbituric_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]C#C[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC#Cc2c(O)c(O)cc3c2C(=O)c2ccccc2C3=O)C(=O)N1,Natural-derived,,451.3032295619099,6.198850000000002
Coumarin_dimethylamino,Bithiophene,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2ccsc2-c2cc(-c3ccc(C(=O)O)cc3)cs2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,410.11123136949004,6.1780500000000025
Coumarin,Pyrrole_N-methyl,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=C1SC(=O)N(CC(=O)O)C1=O,Natural-derived,carboxylic_acid,402.41663033186234,6.166100000000001
Plumbagin_inspired,Benzothiadiazole,Benzoic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]c1ccc2nsnc2c1[Br],[Cl]c1ccc(C(=O)O)cc1,CC1=C(c2ccc3nsnc3c2-c2ccc(C(=O)O)cc2)C(=O)c2cccc(O)c2C1=O,Natural-derived,carboxylic_acid,430.3246564640878,6.161050000000004
Purpurin_inspired,Ethyne,Barbituric_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)c(O)c31,[I]C#C[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC#Cc2c(O)c(O)c(O)c3c2C(=O)c2ccccc2C3=O)C(=O)N1,Natural-derived,,457.55669902958863,6.156800000000004
Curcumin_inspired,Benzene,Barbituric_acid,COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])ccc1O,[I]c1ccc([Br])cc1,O=C1NC(=O)NC(=O)/C1=C/[Cl],COc1cc(C=CC(=O)C=Cc2cc(OC)c(O)cc2-c2ccc(C=C3C(=O)NC(=O)NC3=O)cc2)ccc1O,Natural-derived,,404.56431433320483,6.155000000000004
Alizarin_inspired,Ethyne,Acrylic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]C#C[Br],[Cl]C=CC(=O)O,O=C(O)C=CC#Cc1c(O)c(O)cc2c1C(=O)c1ccccc1C2=O,Natural-derived,carboxylic_acid,454.0457016341351,6.115650000000001
Coumarin_dimethylamino,Benzothiadiazole,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc2nsnc2c1[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2ccc3nsnc3c2-c2ccc(C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,415.63482072128465,6.0954000000000015
Chrysin_inspired,Ethyne,Phosphonic_acid,O=c1cc(-c2ccccc2)oc2cc(O)c([At])cc21,[I]C#C[Br],[Cl]C=CP(=O)(O)O,O=c1cc(-c2ccccc2)oc2cc(O)c(C#CC=CP(=O)(O)O)cc12,Natural-derived,phosphonic_acid,406.83963176400357,6.083250000000001
Lawsone_inspired,Ethyne,Phosphonic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]C#C[Br],[Cl]C=CP(=O)(O)O,O=C1C(O)=C(C#CC=CP(=O)(O)O)C(=O)c2ccccc21,Natural-derived,phosphonic_acid,418.41156379454037,6.067950000000003
Plumbagin_inspired,Ethyne,Benzoic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]C#C[Br],[Cl]c1ccc(C(=O)O)cc1,CC1=C(C#Cc2ccc(C(=O)O)cc2)C(=O)c2cccc(O)c2C1=O,Natural-derived,carboxylic_acid,401.5228158926699,6.045700000000003
Coumarin_dimethylamino,Benzene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(-c2ccc(C=C3SC(=O)N(CC(=O)O)C3=O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,403.06213336730866,6.043600000000002
Lawsone_inspired,Ethyne,Barbituric_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]C#C[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC#CC2=C(O)C(=O)c3ccccc3C2=O)C(=O)N1,Natural-derived,,439.94527943907275,6.0423500000000026
Coumarin_dimethylamino,Furan,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2ccoc2C=C2C(=O)NC(=O)NC2=O)ccc2oc(=O)ccc12,Natural-derived,,407.9416198353636,6.020950000000004
Plumbagin_inspired,Thiophene,Benzoic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]c1ccsc1[Br],[Cl]c1ccc(C(=O)O)cc1,CC1=C(c2ccsc2-c2ccc(C(=O)O)cc2)C(=O)c2cccc(O)c2C1=O,Natural-derived,carboxylic_acid,431.7357010062379,6.0164500000000025
Chrysin_inspired,Benzene,Acrylic_acid,O=c1cc(-c2ccccc2)oc2cc(O)c([At])cc21,[I]c1ccc([Br])cc1,[Cl]C=CC(=O)O,O=C(O)C=Cc1ccc(-c2cc3c(=O)cc(-c4ccccc4)oc3cc2O)cc1,Natural-derived,carboxylic_acid,400.8389060501258,6.001950000000002
Alizarin_inspired,Ethyne,Benzoic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]C#C[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C#Cc2c(O)c(O)cc3c2C(=O)c2ccccc2C3=O)cc1,Natural-derived,carboxylic_acid,442.32953632878633,5.987350000000001
Coumarin_dimethylamino,Ethene,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]/C=C/[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(C=Cc2ccc(C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,402.60271595917004,5.980750000000001
Lawsone_inspired,Ethyne,Benzoic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]C#C[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C#CC2=C(O)C(=O)c3ccccc3C2=O)cc1,Natural-derived,carboxylic_acid,412.4666066844007,5.979050000000002
Plumbagin_inspired,Furan,Benzoic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]c1ccoc1[Br],[Cl]c1ccc(C(=O)O)cc1,CC1=C(c2ccoc2-c2ccc(C(=O)O)cc2)C(=O)c2cccc(O)c2C1=O,Natural-derived,carboxylic_acid,422.1506114005136,5.968650000000004
Coumarin_dimethylamino,Benzene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,[Cl]C=CC(=O)O,CN(C)c1c(-c2ccc(C=CC(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,404.3087757511846,5.953300000000001
