Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin,Benzothiadiazole,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1c(-c2ccc3oc(=O)ccc3c2)ccc2nsnc12,Natural-derived,carboxylic_acid
Coumarin,Benzothiadiazole,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2c(-c3ccc4oc(=O)ccc4c3)ccc3nsnc23)cc1,Natural-derived,carboxylic_acid
Coumarin,Benzothiadiazole,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2c(-c3ccc4oc(=O)ccc4c3)ccc3nsnc23)C1=O,Natural-derived,carboxylic_acid
Coumarin,Benzothiadiazole,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3ccc4nsnc4c3C=CP(=O)(O)O)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Benzothiadiazole,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2c(-c3ccc4oc(=O)ccc4c3)ccc3nsnc23)C(=O)N1,Natural-derived,None
Coumarin,Bithiophene,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1csc(-c2sccc2-c2ccc3oc(=O)ccc3c2)c1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Bithiophene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,O=C(O)C=Cc1csc(-c2sccc2-c2ccc3oc(=O)ccc3c2)c1,Natural-derived,carboxylic_acid
Coumarin,Bithiophene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2csc(-c3sccc3-c3ccc4oc(=O)ccc4c3)c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Bithiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2csc(-c3sccc3-c3ccc4oc(=O)ccc4c3)c2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Bithiophene,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3ccsc3-c3cc(C=CP(=O)(O)O)cs3)ccc2o1,Natural-derived,phosphonic_acid
