dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
DWH1,metal_free_candidate_uncertain,1,3.59,3.59,8.7,574.0,0.72,,,TiO2,I−/I3−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.10.022,Novel carbazole based sensitizers for efficient dye-sensitized solar cells: Role of the hexyl chain
YF01,metal_free_candidate_uncertain,1,3.57,3.57,8.33,0.574,,,,,,glass,rsc,no_excluded_metal_keyword_detected,10.1039/C2JM34363K,Structure–property relationship of naphthalene based donor–π–acceptor organic dyes for dye-sensitized solar cells: remarkable improvement of open-circuit photovoltage  
MC-2,metal_free_candidate_uncertain,1,3.57,3.57,7.27,0.66,0.73,,,,,,rsc,no_excluded_metal_keyword_detected,10.1039/C6RA10881D,Design and synthesis of new ruthenium complex for dye-sensitized solar cells  
Znpor-py ( 3 a ),metal_free_candidate_uncertain,1,3.57,3.57,8.58,0.63,0.66,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C5RA23445J,Pyridyl vs. bipyridyl anchoring groups of porphyrin sensitizers for dye sensitized solar cells  
1(PTZCA),metal_free_organic_candidate,1,3.57,3.57,9.03,0.631,62.79,,,,I−/I3−,,elsevier,organic_keyword:phenothiazine,10.1016/j.dyepig.2013.08.005,Enhancement of photovoltaic performance in dye-sensitized solar cells fabricated with dendritic photosensitizer containing site-isolated chromophores
Zn-3,metal_free_candidate_uncertain,1,3.57,3.57,7.78,630.0,72.94,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2013.01.013,Performance of four artificial chlorin-type sensitizers with different stereostructures in dye-sensitized solar cells
N1,metal_free_organic_candidate,2,2.47,3.55,6.36,0.5585,69.355,,C1=CC=C(C=C1)NC2=CC=C(C=C2)OCCOCCOC3=CC=C(C=C3)NC4=CC=CC=C4,TiO2,I−/I3−,,elsevier,metal_free_smiles_screen,10.1016/j.dyepig.2016.05.016; 10.1016/j.solener.2017.05.088,"Highly efficient panchromatic dye-sensitized solar cells: Synergistic interaction of ruthenium sensitizer with novel co-sensitizers carrying different acceptor units | New carbazole based metal-free organic dyes with D-π-A-π-A architecture for DSSCs: Synthesis, theoretical and cell performance studies"
IIa,metal_free_organic_candidate,1,3.55,3.55,7.92,0.62,72.36,,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC4=NOC(=C4)C5=CC=C(S5)Cl,,,,elsevier,metal_free_smiles_screen,10.1016/j.dyepig.2013.07.037,A key point of porphyrin structure affect DSSCs performance based on porphyrin sensitizers
WR11 a,metal_free_candidate_uncertain,1,3.55,3.55,8.65,652.0,0.63,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.synthmet.2016.01.025,Phenothiazine organic dyes with the cone-shaped structural: Broad photoresponse and limitations on short-circuit photocurrent density in dye-sensitized solar cells
CT1,metal_free_organic_candidate,3,3.2,3.54,7.7967,0.6,0.6767,,CCCC[C@@H](C(=O)S)NC(=O)O[C@H](CC1=CC=CC=C1)C(C)C,,,,rsc,metal_free_smiles_screen,10.1039/C3CP50559F,Combined experimental and theoretical investigation of the hemi- squaraine /TiO 2 interface for dye sensitized solar cells  
