dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
Spinach + beetroot,natural_or_bio_based_candidate,1,0.294,0.294,1.244,0.412,0.575,,,ZnO,,FTO,elsevier,keyword:beetroot|spinach; natural_or_plant_name_screen,10.1016/j.saa.2015.03.120,Visible light absorption and photo-sensitizing properties of spinach leaves and beetroot extracted natural dyes
R. chinensis,natural_or_bio_based_candidate,1,0.29,0.29,0.8017,0.5433,0.66,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Dried Spinach with TiO2,natural_or_bio_based_candidate,1,0.29,0.29,1.11,0.583,0.46,,,TiO2,,,elsevier,keyword:spinach; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Beetroot on ZnO nanorode,natural_or_bio_based_candidate,1,0.28,0.28,2.3,0.2,0.3,,,TiO2,,,elsevier,keyword:beetroot; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Anthocyanin extract ( before purification ),natural_or_bio_based_candidate,1,0.27,0.27,0.7,0.55,0.72,,,TiO2,,,elsevier,keyword:anthocyanin; natural_or_plant_name_screen,10.1016/j.saa.2015.02.003,Photoelectric characterization of fabricated dye-sensitized solar cell using dye extracted from red Siahkooti fruit as natural sensitizer
S. splendens,natural_or_bio_based_candidate,1,0.26,0.26,0.7,0.56,0.61,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Strawberryb,natural_or_bio_based_candidate,1,0.229,0.229,1.33,465.0,37.1,,,,,glass,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.cap.2015.01.003,Sensitized solar cells based on natural dyes
K. japonica,natural_or_bio_based_candidate,2,0.22,0.22,0.5597,292.2419,34.215,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2016.08.003; 10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers | Recent advances in hybrid solar cells based on natural dye extracts from Indian plant pigment as sensitizers
Anthocyanin + Chlorophyll ( Trollflower ),natural_or_bio_based_candidate,1,0.22,0.22,0.589,0.521,0.711,,,TiO2,,,elsevier,keyword:chlorophyll|anthocyanin; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.056,Fabrication and characterization of mixed dye: Natural and synthetic organic dye
H. polyrhizus,natural_or_bio_based_candidate,1,0.16,0.16,0.4,0.5,79.16,,,TiO2,I−/I3−,,elsevier,natural_or_plant_name_screen,10.1016/j.saa.2017.02.026,"Extraction, preparation and application of pigments from Cordyline fruticosa and Hylocereus polyrhizus as sensitizers for dye-sensitized solar cells"
Hennaa,natural_or_bio_based_candidate,1,0.157,0.157,0.66,470.0,50.54,,,,,glass,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.cap.2015.01.003,Sensitized solar cells based on natural dyes
A. dentata,natural_or_bio_based_candidate,2,0.15,0.15,0.5,0.54,28.69,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.optmat.2019.02.037; 10.1016/j.saa.2017.11.018,Application of dyes extracted from Alternanthera dentata leaves and Musa acuminata bracts as natural sensitizers for dye-sensitized solar cells | Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
C. occidentalis,natural_or_bio_based_candidate,1,0.15,0.15,0.2,0.83,0.9,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Strawberry,natural_or_bio_based_candidate,1,0.14,0.14,0.6,0.442,53.5,,,,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.jphotochem.2015.10.009,Role of pH and pigment concentration for natural dye-sensitized solar cells treated with anthocyanin extracts of common fruits
T. indica,natural_or_bio_based_candidate,1,0.14,0.14,0.35,0.53,0.67,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.optmat.2019.02.037,Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
Spinacha,natural_or_bio_based_candidate,1,0.134,0.134,0.55,460.0,53.12,,,,,glass,elsevier,keyword:spinach; natural_or_plant_name_screen,10.1016/j.cap.2015.01.003,Sensitized solar cells based on natural dyes
Cowberry,natural_or_bio_based_candidate,1,0.13,0.13,0.4,0.56,0.54,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Bahraini henna,natural_or_bio_based_candidate,1,0.128,0.128,0.368,0.426,24.6,,,,I−/I3−,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.rser.2015.07.052,"Review on natural dye sensitized solar cells: Operation, materials and methods"
